name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size
rum screwdriver,rum - daiquiris,1 1/2 oz,light rum,5 oz,orange juice,,,,,,,,,stir rum and orange juice in ice-filled highball glass.,highball glass,7 to 10 ounces
rum rickey,rum - daiquiris,1 1/2 oz,light rum,1/2 oz,fresh lime juice,,soda water,,,,,,,pour rum and lime juice into ice-filled highball glass. fill with soda water and stir. add lime.,highball glass,7 to 10 ounces
scotch cocktail,cocktail classics,1/2 oz,old mr. boston creme de menthe (white),1 1/2 oz,desmond & duff scotch whisky,,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
rum relaxer,rum - daiquiris,1 1/2 oz,light rum,1 oz,pineapple juice,1/2 oz,grenadine,,,,"orange wheel, maraschino cherry",,,shake first three ingredients with ice and pour with ice into hurricane or parfait glass. fill glass with lemon-lime soda. garnish with orange and cherry.,hurricane glass,14 to 20 ounces
rum old-fashioned,rum - daiquiris,1 1/2 oz,light rum,1 oz,151-proof rum,1 oz,simple syrup,1 oz,angostura bitters,,lemon twist,,,stir in ice-filled old-fashioned glass. add lemon twist.,old-fashioned glass,6 to 8 ounces
rum martini,rum - daiquiris,2 oz,light rum,1 oz,dry vermouth,,lemon twist,,,,,,,stir rum and vermouth with ice in mixing glass. strain into ice-filled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
rum highball,rum - daiquiris,2 oz,light or dark rum,,ginger ale or soda water,,lemon twist,,,,,,,pour rum into highball glass over ice cubes. fill with ginger ale or soda water and stir. add lemon twist.,highball glass,7 to 10 ounces
rum fix,rum - daiquiris,2 1/2 oz,light rum,1 oz,fresh lemon or lime juice,1/2 oz,simple syrup,,,,,,,pour ingredients into ice-filled highball glass and stir. add lemon. serve with a straw.,highball glass,7 to 10 ounces
rum daisy,rum - daiquiris,2 oz,light rum,1/2 oz,fresh lemon juice,1 oz,simple syrup,1 oz,grenadine,,fresh seasonal fruit,,,shake with ice and strain into chilled beer mug or metal cup. add 1 large ice cube. garnish with fruit.,beer mug,10 to 12 ounces
d'artagnan,brandy,1 oz,armagnac,1 oz,grand marnier,1 oz,simple syrup,1/2 oz,orange juice,3 oz,chilled champagne,,orange zest,shake first four ingredients with ice and strain into champagne flute. top with champagne and insert orange zest strips to extend the length of the glass.,champagne flute,6 to 8 ounces
rum cooler,rum - daiquiris,2 oz,light rum,1/2 oz,simple syrup,2 oz,soda water,,,,orange and/or lemon zest,,,"stir rum and syrup in collins glass. fill with ice, add soda water or ginger ale, and stir again. insert citrus spiral(s) and dangle end(s) over glass rim.",collins glass,14 to 16 ounces
rum collins,rum - daiquiris,2 oz,light rum,1 oz,fresh lime juice,1/2 oz,simple syrup,,,,"lemon wheel, maraschino cherry",,,"shake rum, lime juice, and syrup with ice and strain into chilled collins glass. add several ice cubes, fill with soda water, and stir. add lemon and cherry. serve with a straw.",collins glass,14 to 16 ounces
seaboabd,cocktail classics,1 oz,old mr. boston blended whiskey,1 oz,old mr. boston dry gin,1 oz,lemon juice,1 oz,powdered sugar,,,,,shake with ice and strain into old-fashioned glass over ice cubes. decorate with mint leaves.,old-fashioned glass,6 to 8 ounces
rum cobbler,rum - daiquiris,2 oz,light rum,1/4 oz,simple syrup,,soda water,,,,,,,"in red-wine glass, stir rum and syrup. top with soda water. garnish with fruit and serve with a straw.",red-wine glass,12 to 24 ounces
robson cocktail,rum - daiquiris,1 1/2 oz,jamaica rum,1/2 oz,fresh lemon juice,1/2 oz,fresh orange juice,1/4 oz,grenadine,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
rio fix,rum - daiquiris,2 oz,absinthe or pastis,1 1/2 oz,cachaca,1/2 oz,maraschino liqueur,3/4 oz,fresh lime juice,1/2 oz,pineapple juice,,,pour pastis into chilled champagne flute and swirl to coat inside. shake remaining ingredients with ice and strain into glass.,champagne flute,6 to 8 ounces
ringo starr,rum - daiquiris,3 oz,red grapes,1/2 oz,lemon,6,fresh mint leaves,1 oz,sugar cube,2 oz,african rum,,,"muddle grapes, lemon, mint, and sugar in shaker. add rum and ice and shake briefly. strain into chilled old-fashioned glass.",old-fashioned glass,6 to 8 ounces
restless native,rum - daiquiris,2 oz,coconut rum,3/4 oz,white creme de cacao,1 1/2 oz,fresh lime juice,,,,,1 1/2 oz,light rum,shake with ice and strain into chilled cocktail glass. garnish with lime spiral.,cocktail glass,6 or more ounces
quarter deck cocktail,rum - daiquiris,1 1/2 oz,light rum,1/2 oz,cream sherry,1/2 oz,fresh lime juice,,,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
quaker's cocktail,rum - daiquiris,3/4 oz,light rum,3/4 oz,brandy,1/2 oz,fresh lemon juice,1/4 oz,raspberry syrup,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
puerto rican rum daisy,rum - daiquiris,1 1/2 oz,dark rum,1/4 oz,orange curacao,3/4 oz,fresh lemon juice,1/2 oz,each orange juice and simple syrup,1 oz,angostura bitters,,"freshly grated nutmeg, orange wheel",shake with ice and strain into chilled cocktail glass. top with nutmeg and garnish with orange.,cocktail glass,6 or more ounces
cuban cocktail no. 2,brandy,1 1/2 oz,brandy,1/2 oz,light rum,1/2 oz,apricot-flavored brandy,1/2 oz,fresh lime juice,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
prohibition punch,rum - daiquiris,1 1/2 oz,dark rum,3/4 oz,grand marnier,1 oz,passion fruit juice,1 oz,cranberry juice,1/4 oz,fresh lemon juice,2 oz,champagne,shake first five ingredients with ice. strain into ice-filled snifter. top with champagne.,brandy snifter,8 to 12 ounces
prairie oyster cocktail,cocktail classics,1 oz,old mr. boston five star brandy,1 oz,worcestershire sauce,1 oz,tomato catsup,1 oz,vinegar,1 oz,pepper,1 oz,"egg yolk, 1 oz",shake with ice and strain into old-fashioned glass over two ice cubes. place an egg yolk on top without breaking it. add a dash of cayenne pepper.,old-fashioned glass,6 to 8 ounces
poker cocktail,rum - daiquiris,1 1/2 oz,light rum,1 1/2 oz,sweet vermouth,,,,,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
planter's punch no. 2,rum - daiquiris,2 oz,light rum,2 oz,orange juice,1 oz,"each fresh lime juice, jamaica rum, grenadine",1/2 oz,pineapple juice,1/4 oz,"each fresh lemon juice, triple sec",,"lemon, orange, and pineapple slices; maraschino cherry; fresh mint sprig dipped in sugar","stir first five ingredients in ice-filled collins glass until glass is frosted. add jamaican rum, stir, and top with triple sec and grenadine. garnish with fruit and mint. serve with a straw.",collins glass,14 to 16 ounces
planter's punch no. 1,rum - daiquiris,2 1/2 oz,light rum,2 oz,fresh lime juice,1/2 oz,simple syrup,2 oz,soda water,1 oz,grenadine,,"lemon, orange, and pineapple slices; maraschino cherry","stir rum, lime juice, syrup, and bitters in ice-filled collins glass until glass is frosted. fill with soda water and top with grenadine. garnish with the fruit. serve with a straw.",collins glass,14 to 16 ounces
planter's cocktail,rum - daiquiris,1 1/2 oz,jamaica rum,1/2 oz,fresh lemon juice,1 oz,simple syrup,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
pink paradise,rum - daiquiris,1 1/2 oz,coconut-flavored rum,1 oz,amaretto,3 oz,cranberry juice,1 1/2 oz,pineapple juice,,"pineapple wedge, maraschino cherry",,,stir ingredients in ice-filled hurricane glass. garnish with pineapple and cherry.,hurricane glass,14 to 20 ounces
pink creole,rum - daiquiris,1 1/2 oz,light rum,1/2 oz,fresh lime juice,1/4 oz,grenadine,1/4 oz,half-and-half,,rum-soaked black cherry,,,shake with ice and strain into chilled cocktail glass. add cherry.,cocktail glass,6 or more ounces
pineapple fizz,rum - daiquiris,2 oz,light rum,1 oz,pineapple juice,1 oz,simple syrup,,,,,,,"shake rum, pineapple juice, and syrup with ice and strain into chilled highball glass over 2 ice cubes. fill with soda water and stir.",highball glass,7 to 10 ounces
pineapple cocktail,rum - daiquiris,1 1/2 oz,light rum,3/4 oz,pineapple juice,1/2 oz,fresh lemon juice,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
pearl button,rum - daiquiris,2 oz,cachaca (brazilian rum),3/4 oz,lillet blanc,1/2 oz,fresh lime juice,,,,"pineapple wedge, maraschino cherry",,,shake first three ingredients with ice and strain into ice-filled collins glass. top with soda. garnish with pineapple and cherry.,collins glass,14 to 16 ounces
the crux,brandy,3/4 oz,dubonnet,3/4 oz,triple sec,3/4 oz,brandy,3/4 oz,fresh lemon juice,,orange twist,,,stir with ice and strain into chilled cocktail glass. add orange twist.,cocktail glass,6 or more ounces
paris when it sizzles,rum - daiquiris,3/4 oz,elderflower liqueur,2 oz,dark rum,1/2 oz,fresh lime juice,1 oz,angostura bitters,,lime wedge,,,shake with ice and strain into chilled cocktail glass. garnish with lime.,cocktail glass,6 or more ounces
palmetto cocktail,rum - daiquiris,1 1/2 oz,light rum,1 1/2 oz,dry vermouth,2 oz,angostura bitters,,,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
paddington,rum - daiquiris,1 oz,absinthe,1 1/2 oz,light rum,1/2 oz,lillet blanc,1/2 oz,fresh grapefruit juice,1/2 oz,fresh lemon juice,1 oz,"orange marmalade, grapefruit twist","pour absinthe into chilled cocktail glass, swirl to coat inside, and discard excess. shake remaining ingredients with ice and strain into glass. add grapefruit twist.",cocktail glass,6 or more ounces
the old cuban,rum - daiquiris,,mint leaves,1 oz,simple syrup,3/4 oz,fresh lime juice,1 1/2 oz,dark rum,2 oz,angostura bitters,2 oz,"champagne, chopped fresh mint","muddle mint leaves, syrup, and lime juice in mixing glass. add rum, bitters, and ice and shake well. strain into chilled cocktail glass and top with champagne. garnish with chopped mint.",cocktail glass,6 or more ounces
"oh, gosh!",rum - daiquiris,1 1/2 oz,light rum,1 1/2 oz,triple sec,1 oz,fresh lime juice,,,,,,,shake with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
night cap,rum - daiquiris,2 oz,light rum,1/2 oz,simple syrup,,warm milk,,,,,,,"pour rum and syrup in prewarmed irish coffee glass, fill with warm milk, and stir. top with nutmeg.",irish coffee glass,8 to 9 ounces
new orleans buck,rum - daiquiris,1 1/2 oz,light rum,1 oz,fresh orange juice,1/2 oz,fresh lemon juice,,,,,,,shake first three ingredients with ice and strain into ice-filled collins glass. fill with ginger ale and stir.,collins glass,14 to 16 ounces
nevada cocktail,rum - daiquiris,1 1/2 oz,light rum,1 oz,grapefruit juice,3/4 oz,fresh lime juice,3/4 oz,simple syrup,1 oz,angostura bitters,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
moonquake shake,rum - daiquiris,1 1/2 oz,dark rum,1 oz,coffee-flavored brandy,1/4 oz,fresh lemon juice,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
monkey wrench,rum - daiquiris,1 1/2 oz,light rum,,grapefruit juice,,,,,,,,,pour rum into ice-filled collins glass. fill with grapefruit juice and stir.,collins glass,14 to 16 ounces
creme de cafe,brandy,1 oz,coffee-flavored brandy,1/2 oz,light rum,1/2 oz,anisette,1 oz,half-and-half,,,,,shake with ice and strain into chilled old-fashioned glass.,old-fashioned glass,6 to 8 ounces
margarita,cocktail classics,1 1/2 oz,blanco tequila,3/4 oz,cointreau or triple sec,3/4 oz,fresh lime juice,,,,,,,rim chilled cocktail glass with lime and salt. shake remaining ingredients with ice and strain into glass.,cocktail glass,6 or more ounces
mojito,rum - daiquiris,3 oz,lime wedges,7,fresh mint leaves,3/4 oz,simple syrup,2 oz,light rum,,soda water,,fresh mint sprig,"muddle the limes, mint, and syrup in a collins glass. add the rum with ice and stir well. top with soda water. garnish with mint.",collins glass,14 to 16 ounces
champagne flamingo,vodka,3/4 oz,vodka,3/4 oz,campari,5 oz,chilled champagne,,,,,,,shake vodka and campari with ice. strain into chilled champagne flute and top with champagne. add orange twist.,champagne flute,6 to 8 ounces
thunder and lightning cocktail,cocktail classics,1 oz,egg yolk,1 oz,powdered sugar,1 1/2 oz,old mr. boston five star brandy,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
casco bay lemonade,vodka,1 1/2 oz,citrus-flavored vodka,2 oz,simple syrup,2 oz,fresh lemon juice,1 oz,cranberry juice,,lemon-lime soda,,lemon wheel,shake first four ingredients with ice. pour into ice-filled collins glass. fill glass with lemon-lime soda. float lemon wheel on top.,collins glass,14 to 16 ounces
caribbean cruise,vodka,1 oz,vodka,1/4 oz,light rum,1/4 oz,coconut-flavored rum,1 oz,grenadine,4 oz,pineapple juice,,"pineapple wedge, maraschino cherry",shake first four ingredients with ice and pour into ice-filled collins glass. fill with pineapple juice. garnish with pineapple and cherry.,collins glass,14 to 16 ounces
cappuccino cocktail,vodka,3/4 oz,vodka,3/4 oz,coffee-flavored brandy,3/4 oz,half-and-half,1 1/2 oz,vodka,5 oz,cranberry juice,,lime wedge,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
cape codder,tequila,1 1/2 oz,vodka,5 oz,cranberry juice,,lime wedge,1 oz,old mr. boston anisette,1 oz,old mr. boston five star brandy,1 oz,egg white,pour into ice-filled highball glass. stir well. garnish with lime.,highball glass,7 to 10 ounces
baltimore bracer cocktail,cocktail classics,1 oz,old mr. boston anisette,1 oz,old mr. boston five star brandy,1 oz,egg white,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
caesar,vodka,,"lemon wedge, celery salt",1 1/2 oz,vodka,4 oz,tomato-clam juice,1/2 oz,prepared horseradish,1 oz,"each worcestershire sauce, salt, ground black pepper",,"celery stalk, lemon wedge","rim highball glass with lemon and celery salt, and then fill with ice. shake ingredients with ice and strain into glass. garnish with celery and lemon.",highball glass,7 to 10 ounces
bull shot,vodka,1 1/2 oz,vodka,3 oz,cold beef bouillon,1 oz,worcestershire sauce,1 oz,salt,1 oz,freshly ground black pepper,,,shake with ice and strain into chilled old-fashioned glass.,old-fashioned glass,6 to 8 ounces
bullfrog,vodka,1 1/2 oz,vodka,5 oz,lemonade,,lime wheel,,,,,,,pour into ice-filled collins glass and stir. garnish with lime.,collins glass,14 to 16 ounces
boston gold,vodka,1 1/2 oz,vodka,1/2 oz,creme de banana,2 oz,fresh orange juice,,,,,,,shake with ice and strain into ice-filled highball glass.,highball glass,7 to 10 ounces
corpse reviver no. 1,brandy,2 oz,cognac,1 oz,"calvados, apple brandy, or applejack",1 oz,sweet vermouth,,,,,,,stir with ice and strain into a chilled cocktail glass.,cocktail glass,6 or more ounces
thanksgiving special cocktail,cocktail classics,3/4 oz,old mr. boston apricot flavored brandy,3/4 oz,old mr. boston dry gin,3/4 oz,dry vermouth,1/4 oz,lemon juice,,,,,shake with ice and strain into cocktail glass. serve with a cherry.,cocktail glass,6 or more ounces
tequini cocktail,cocktail classics,1 1/2 oz,old mr. boston tequila,1/2 oz,dry vermouth,1 oz,bitters,,,,,,,stir with ice and strain into cocktail glass. serve with twist of lemon peel and an olive.,cocktail glass,6 or more ounces
bordeaux cocktail,vodka,1 1/2 oz,citrus-flavored vodka,1/2 oz,lillet blanc,,lemon twist,,,,,,,stir with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
bolshoi punch,vodka,1 oz,vodka,3/4 oz,fresh lemon juice,1/2 oz,simple syrup,1/2 oz,light rum,1/2 oz,creme de cassis,,,shake and pour into ice-filled old-fashioned glass.,old-fashioned glass,6 to 8 ounces
blue lagoon,vodka,1 oz,vodka,1 oz,blue curacao,1/2 oz,fresh lemon juice,1/2 oz,simple syrup,,maraschino cherry,,,shake with ice and strain into ice-filled highball glass. garnish with cherry.,highball glass,7 to 10 ounces
stinger cocktail,cocktail classics,1/2 oz,old mr. boston white creme de menthe,1 1/2 oz,old mr. boston five star brandy,,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
bloody mary,vodka,1 1/2 oz,vodka,3 oz,tomato juice,1/4 oz,fresh lime juice,4 oz,worcestershire sauce,2 -  3 drops,hot red pepper sauce,,"freshly ground black pepper to taste, lime wedge, celery stalk",roll with ice between both halves of boston shaker. strain into ice-filled old-fashioned glass. garnish with lime and celery.,old-fashioned glass,6 to 8 ounces
spritzer highball,cocktail classics,3 oz,chilled rhine wine or sauterne,,carbonated water,,,,,,,,,pour into highball glass with ice cubes. fill balance with carbonated water and stir gently.,highball glass,7 to 10 ounces
bloody bull,vodka,1 oz,vodka,2 oz,tomato juice,2 oz,cold beef bouillon,,,,,,,pour into ice-filled highball glass. stir. squeeze and add lemon. garnish with lime wheel.,highball glass,7 to 10 ounces
the blood orange,vodka,2 oz,orange-flavored vodka,1 oz,campari,,blood or navel orange half-wheel,,,,,,,stir with ice and strain into chilled cocktail glass. garnish with orange.,cocktail glass,6 or more ounces
